"mNo","lat","lon","easting","northing","height","st.code","type","type_area","country","Koppen","pm10.obs","pm10.LE","region","Koppen3","Koppen3a","KA","KA2","dg","TIME"
23,46.6083297729492,14.3986101150513,4658.09081845072,2620.54027324661,430,"AT2M226","background","rural","AT",26,16.5,24.9198303222656,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
27,48.1061096191406,15.9194478988647,4761.51513276117,2794.61272375466,581,"AT30202","background","rural","AT",26,21.2999992370605,26.7028694152832,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
42,48.2366676330566,16.6369476318359,4813.48404035839,2813.61524335051,150,"AT30407","background","rural","AT",26,37.7000007629395,28.3546905517578,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
50,48.8786087036133,15.0466785430908,4690.95400180941,2875.49444084093,560,"AT30502","background","rural","AT",26,24.2999992370605,27.2664966583252,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
51,48.086109161377,16.4333324432373,4799.83944108485,2795.59527165814,172,"AT30603","background","rural","AT",26,34.2000007629395,29.521879196167,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
56,47.7700004577637,16.7664031982422,4827.6793238587,2762.80051477554,117,"AT0ILL1","background","rural","AT",26,37.5,25.4845161437988,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
67,46.7527770996094,15.9566717147827,4775.9990242177,2644.86701284068,300,"AT60185","background","rural","AT",26,23.2999992370605,35.616283416748,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
72,47.4591674804688,11.9105634689331,4465.14266239971,2706.92166508985,600,"AT72538","background","rural","AT",26,18.2000007629395,12.2377281188965,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
81,47.5672225952148,14.2436199188232,4640.33275686135,2726.22533954163,665,"AT60182","background","rural","AT",26,26.6000003814697,20.3596134185791,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
94,48.3222198486328,15.9666662216187,4763.12894127106,2818.85139826208,182,"AT31905","background","rural","AT",26,34.7999992370605,27.6987133026123,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
95,47.3041648864746,16.1930637359619,4789.06662907785,2707.42343913055,330,"AT10002","background","rural","AT",26,21.2000007629395,28.1311416625977,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
96,46.9355583190918,13.1955671310425,4564.46233307402,2652.14081710441,686,"AT2SP10","background","rural","AT",29,18.3999996185303,16.8390731811523,"AT.CH.IT","ET","ET","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
100,48.7211112976074,15.9422302246094,4757.83409411495,2862.92851914854,315,"AT0PIL1","background","rural","AT",26,35.4000015258789,27.5511894226074,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
103,47.2188911437988,14.6016836166382,4669.56902803688,2689.19591071156,795,"AT60127","background","rural","AT",26,11.8000001907349,27.7206115722656,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
105,47.3066711425781,11.8638896942139,4462.03550654226,2689.89416269279,555,"AT0ZIL1","background","rural","AT",26,20,12.2377281188965,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
112,46.7080574035645,14.8919534683228,4695.13588329605,2633.96201744864,540,"AT2WO35","background","rural","AT",27,15,26.6383457183838,"AT.CH.IT","Dfc","Dfc","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
120,48.0508308410645,16.6766738891602,4818.24087100178,2793.29531274346,210,"AT30302","background","rural","AT",26,38,28.3546905517578,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
123,48.2766647338867,15.9361143112183,4761.2676980166,2813.61870065787,220,"AT31904","background","rural","AT",26,33.9000015258789,27.6987133026123,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
128,48.3533325195312,15.746955871582,4746.62430379108,2821.00874634722,190,"AT31703","background","rural","AT",26,45.5,27.6987133026123,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
129,48.3316650390625,15.85973072052,4755.14304488899,2819.2635092427,192,"AT31903","background","rural","AT",26,34.9000015258789,27.6987133026123,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
150,48.3922233581543,16.5222282409668,4803.50750621312,2830.09146028898,190,"AT30403","background","rural","AT",26,34.5,25.5446929931641,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
153,48.5288887023926,15.9427862167358,4759.558096816,2841.62019721226,230,"AT30701","background","rural","AT",26,34.7000007629395,27.5511894226074,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
155,48.3283309936523,15.9091749191284,4758.82631363414,2819.18604705302,200,"AT31902","background","rural","AT",26,37.7000007629395,27.6987133026123,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
268,51.2336540222168,5.163978099823,3983.51219715898,3135.90836190421,30,"BETN016","background","rural","BE",15,30.4290008544922,31.7976264953613,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
275,50.7117042541504,5.10315799713135,3975.41110319326,3078.23531856359,135,"BETN054","background","rural","BE",15,45.0449981689453,30.9004020690918,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
284,50.6554374694824,4.66828918457031,3944.32869048902,3074.13451550115,145,"BETN063","background","rural","BE",15,48.25,33.1497993469238,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
285,50.6288604736328,6.0023307800293,4038.28907283006,3065.17532616699,295,"BETN066","background","rural","BE",15,60.5,20.0543460845947,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
287,50.5027160644531,4.98842191696167,3965.75096273586,3055.58176236749,160,"BETN073","background","rural","BE",15,48,33.1497993469238,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
288,50.3032073974609,6.00173616409302,4036.28892973924,3028.99956860247,490,"BETN085","background","rural","BE",15,29.7390003204346,15.7041435241699,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
289,50.2744789123535,5.23516702651978,3981.57855794254,3029.07232374988,265,"BETN093","background","rural","BE",15,48.875,22.319974899292,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
290,50.0956840515137,4.59476089477539,3934.60039317818,3012.39530088744,225,"BETN100","background","rural","BE",15,48.5419998168945,17.8096981048584,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
291,50.0270309448242,5.59301710128784,4005.39874611308,2999.99706524241,510,"BETN113","background","rural","BE",15,30,15.444091796875,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
292,49.8771286010742,5.20238590240479,3976.39271722084,2985.10976516088,430,"BETN121","background","rural","BE",15,29,15.1301174163818,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
293,49.7192802429199,5.63039684295654,4006.06263058974,2965.66129443619,375,"BETN132","background","rural","BE",15,27.25,18.9623794555664,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
298,51.0162773132324,2.58232188224792,3801.49834156634,3126.93275567275,2,"BETN029","background","rural","BE",15,36.5909996032715,23.3499450683594,"FR.BENELUX","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
383,46.1625518798828,6.00518894195557,4012.25935057189,2569.3489951837,427,"CH0051A","background","rural","CH",26,26.6000003814697,17.9238815307617,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
397,46.1603698730469,8.93394184112549,4238.56386953211,2561.40368569729,204,"CH0033A","background","rural","CH",15,15.3999996185303,16.3943386077881,"AT.CH.IT","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
400,46.8130569458008,6.94446897506714,4087.65855159137,2638.09433123036,489,"CH0002R","background","rural","CH",26,28.5,24.5737705230713,"AT.CH.IT","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
403,46.1389923095703,7.14833307266235,4100.45202929416,2562.66765512141,460,"CH0024A","background","rural","CH",31,32.2999992370605,12.4325857162476,"AT.CH.IT","ET","ET","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
406,47.4797706604004,8.90469646453857,4238.39050516417,2707.96203504553,539,"CH0003R","background","rural","CH",27,47.4000015258789,21.3998985290527,"AT.CH.IT","Dfc","Dfc","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
416,49.5869445800781,17.8041687011719,4884.18437008179,2971.51917065404,306,"CZ0MBEL","background","rural","CZ",26,65,24.0107326507568,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
430,49.5591659545898,18.3483486175537,4923.61157858856,2972.7649883364,400,"CZ0TCEL","background","rural","CZ",26,50,23.873722076416,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
431,49.7772216796875,17.5419521331787,4863.20127367591,2990.61015355217,749,"CZ0TCER","background","rural","CZ",26,45,28.7307453155518,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
440,50.4588890075684,14.171669960022,4617.06826247972,3046.98068389901,158,"CZ0UDOK","background","rural","CZ",26,45,24.5979156494141,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
441,49.9319458007812,16.9608421325684,4819.96668318485,3003.62552707747,298,"CZ0MDST","background","rural","CZ",26,51,22.4623260498047,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
443,49.0955543518066,16.1344547271729,4768.53321512103,2905.59766826564,400,"CZ0JDUK","background","rural","CZ",26,31,28.4489898681641,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
452,50.2425003051758,17.1911163330078,4833.07082540858,3039.62023309348,625,"CZ0MJES","background","rural","CZ",26,28.2080001831055,24.6111068725586,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
466,49.5727767944336,15.0802888870239,4688.18157137138,2952.69642648757,535,"CZ0JKOS","background","rural","CZ",26,29.7080001831055,26.8842086791992,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
469,49.3836135864258,16.0986251831055,4763.32016420877,2937.31936521704,525,"CZ0JKRI","background","rural","CZ",26,36,26.017557144165,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
471,50.6963882446289,13.8489027023315,4592.80999740764,3072.11457354299,533,"CZ0UKRU","background","rural","CZ",26,27.5,23.9002475738525,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
472,48.8811111450195,16.0858592987061,4766.92797767038,2881.52820490106,334,"CZ0BKUC","background","rural","CZ",26,44,27.4525051116943,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
477,50.5855560302734,13.6730613708496,4581.01776636351,3059.16091209944,265,"CZ0ULOM","background","rural","CZ",26,25.375,23.9002475738525,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
478,49.0686111450195,17.070837020874,4836.90246987748,2908.74207478102,245,"CZ0BLOC","background","rural","CZ",26,55,22.954158782959,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
480,48.7922210693359,16.7250080108643,4814.50045643042,2875.75281041312,245,"CZ0BMIS","background","rural","CZ",26,41.7919998168945,25.8474674224854,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
482,49.758056640625,16.651683807373,4799.60406871704,2982.2963218235,383,"CZ0EMTR","background","rural","CZ",26,31,22.4623260498047,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
485,49.594165802002,18.7438983917236,4951.55660767773,2979.95710700855,380,"CZ0TNUJ","background","rural","CZ",26,59,21.8281917572021,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
519,50.6247215270996,15.084454536438,4680.47174017992,3069.48180695298,385,"CZ0LRAD","background","rural","CZ",26,38,23.4047508239746,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
520,50.2955551147461,15.1691923141479,4689.0095134778,3033.36339571475,197,"CZ0SROZ","background","rural","CZ",26,33,23.7485389709473,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
526,50.3088874816895,13.8586196899414,4595.74506236302,3029.0977111039,345,"CZ0USMO","background","rural","CZ",26,36,24.300012588501,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
527,50.7883338928223,14.0863914489746,4608.99526786859,3083.23823309849,590,"CZ0USNZ","background","rural","CZ",26,53.7080001831055,19.7455711364746,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
529,50.7894439697266,15.3219470977783,4695.9077249549,3088.95822958982,771,"CZ0LSOU","background","rural","CZ",26,42.75,21.332275390625,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
533,50.1700019836426,13.4841756820679,4569.83394874191,3012.32932885905,360,"CZ0USJT","background","rural","CZ",27,40,24.206563949585,"CZ.SK.PL","Dfc","Dfc","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
534,49.7216682434082,18.0913944244385,4903.19358733693,2988.66963247066,231,"CZ0TSTD","background","rural","CZ",26,70.0830001831055,23.873722076416,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
536,49.735279083252,16.0361137390137,4755.6382080261,2975.94247220248,735,"CZ0ESVR","background","rural","CZ",26,26,25.4964694976807,"CZ.SK.PL","Dfb","ET","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
545,50.3797187805176,13.3338937759399,4558.06034053535,3035.13631875628,322,"CZ0UTUS","background","rural","CZ",27,51.1669998168945,23.6116256713867,"CZ.SK.PL","Dfc","Dfc","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
549,49.9802780151367,16.4222278594971,4781.01207597114,3005.46195699504,402,"CZ0EUOR","background","rural","CZ",26,36,22.2560539245605,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
550,50.9730567932129,14.5161247253418,4637.97916786245,3105.53471641105,438,"CZ0UVAL","background","rural","CZ",26,32.5830001831055,21.5976791381836,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
552,49.9250030517578,18.4244499206543,4924.48339026105,3013.85619533774,203,"CZ0TVER","background","rural","CZ",26,94.5419998168945,31.0189170837402,"CZ.SK.PL","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
567,53.5241813659668,9.68502998352051,4300.10840657388,3379.65151442363,3,"DENI063","background","rural","DE",99,20.4570007324219,22.6036815643311,"DE.DK","ZZZ","Cfa","ZZZ","SE","SE","2009-04-01 00:00:00 CEST"
568,47.9687538146973,11.2201719284058,4412.15541333097,2762.43749773966,700,"DEBY109","background","rural","DE",26,34.6459999084473,19.8825263977051,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
590,52.4477500915527,13.6470127105713,4568.84693233522,3266.03314685283,35,"DEBE056","background","rural","DE",26,31.7000007629395,21.6636505126953,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
592,52.4730911254883,13.2258558273315,4540.12312747552,3267.4989450393,50,"DEBE032","background","rural","DE",26,28.2749996185303,25.2501220703125,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
625,51.4308967590332,8.92817115783691,4246.46212249531,3147.22732675259,343,"DEHE046","background","rural","DE",15,35.8230018615723,22.7781810760498,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
651,49.4168853759766,6.55203580856323,4070.87269888761,2928.5297018022,339,"DESL019","background","rural","DE",26,19.3540000915527,18.9848728179932,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
701,51.3037719726562,13.0094051361084,4530.80344035429,3136.85854672216,313,"DESN076","background","rural","DE",26,28.3099994659424,20.0710144042969,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
730,50.5617523193359,10.3752994537354,4347.59378716893,3050.05985401017,450,"DETH026","background","rural","DE",26,18.068000793457,17.5358963012695,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
741,49.0824279785156,8.40383815765381,4204.37797958852,2886.74114901034,110,"DEBW004","background","rural","DE",15,22.9899997711182,19.4782238006592,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
747,53.8301696777344,8.80121994018555,4242.06082474435,3414.31077230083,3,"DENI059","background","rural","DE",99,15.8830003738403,16.5442848205566,"DE.DK","ZZZ","Cfa","ZZZ","SE","SE","2009-04-01 00:00:00 CEST"
797,49.6534652709961,8.81725025177002,4235.58404839018,2949.65975062839,484,"DEHE028","background","rural","DE",15,16.4209995269775,17.96533203125,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
820,53.3023529052734,11.362964630127,4411.86705905197,3355.7738330525,25,"DEMV017","background","rural","DE",26,14.1459999084473,18.228874206543,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
824,53.8177757263184,12.0647077560425,4456.98586221484,3414.21640935435,17,"DEMV004","background","rural","DE",26,13.1899995803833,18.4030666351318,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
883,52.563835144043,14.0152530670166,4593.12791445856,3280.25117987409,88,"DEBB053","background","rural","DE",26,31.2999992370605,19.4158992767334,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
909,50.7916145324707,11.6612329483032,4438.12851025708,3076.89021988826,357,"DETH061","background","rural","DE",26,16.9300003051758,20.80397605896,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
911,49.7410354614258,7.19348621368408,4118.73211064962,2962.57498937071,650,"DERP014","background","rural","DE",15,13.753999710083,19.0869674682617,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
917,53.5961685180664,8.09058952331543,4194.5810917902,3389.28202021915,2,"DENI031","background","rural","DE",15,11.6800003051758,18.0707302093506,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
932,51.154842376709,9.03175258636475,4253.25928869843,3116.41704649964,483,"DEHE060","background","rural","DE",15,22.5249996185303,20.6584625244141,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
987,53.5204544067383,14.2574071884155,4603.22639974071,3387.47982088299,17,"DEMV012","background","rural","DE",26,19.375,14.8610687255859,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
994,52.1942253112793,12.5613889694214,4496.10795050391,3234.69027285609,114,"DEBB065","background","rural","DE",26,16.8880004882812,22.4662189483643,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1010,48.1828346252441,12.7813854217529,4527.87112471981,2789.37273943625,415,"DEBY013","background","rural","DE",26,36.9790000915527,23.1522941589355,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1034,50.3232421875,11.7216053009033,4443.59847564239,3024.90163788679,534,"DEBY047","background","rural","DE",26,28.5620002746582,21.1667175292969,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1038,50.9303283691406,8.19193363189697,4193.89991555949,3092.56251367453,635,"DENW065","background","rural","DE",15,23.3470001220703,18.1464958190918,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1041,53.1413040161133,13.0316610336304,4523.81833295716,3341.23376337937,65,"DEUB030","background","rural","DE",26,12.5100002288818,14.7366065979004,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1047,48.8532104492188,11.7778167724609,4451.49476361973,2861.567660236,359,"DEBY049","background","rural","DE",26,31.9379997253418,26.0079536437988,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1059,49.4648132324219,8.75383377075195,4230.65451238533,2928.75971554873,520,"DEBW103","background","rural","DE",15,17.4829998016357,18.3223438262939,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1071,53.7153015136719,7.21398019790649,4137.08627577529,3404.41054790348,1,"DENI058","background","rural","DE",99,11.4930000305176,17.5075874328613,"DE.DK","ZZZ","Cfa","ZZZ","SE","SE","2009-04-01 00:00:00 CEST"
1078,49.270263671875,7.8265209197998,4162.8146548197,2908.69807336825,606,"DERP017","background","rural","DE",15,20.1040000915527,18.2339172363281,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1086,51.3330841064453,10.8671894073486,4381.43641347294,3136.15688876983,420,"DETH042","background","rural","DE",27,18.6439990997314,22.6181888580322,"DE.DK","Dfc","Dfc","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
1099,51.1195106506348,13.6750049591064,4578.19179958356,3118.50360504566,246,"DESN051","background","rural","DE",15,28.4599990844727,21.6507549285889,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1115,49.8251609802246,8.51679706573486,4214.2690320337,2969.14393487655,87,"DEHE043","background","rural","DE",15,16.9540004730225,18.6195793151855,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1150,50.6590957641602,13.4650774002075,4565.92362972921,3066.616019591,785,"DESN074","background","rural","DE",26,20.6000003814697,23.5713195800781,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1159,48.345401763916,9.20774745941162,4262.24909135533,2803.86061454824,799,"DEBW087","background","rural","DE",14,25.8120002746582,25.4139175415039,"DE.DK","Cfa","Cfa","ZZZ","SE","SE","2009-04-01 00:00:00 CEST"
1170,51.5706596374512,8.14806079864502,4192.61539478504,3163.85868337962,110,"DENW068","background","rural","DE",15,39.8110008239746,26.6610641479492,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1172,51.7597503662109,9.57771396636963,4291.84349240779,3183.35294996645,500,"DENI019","background","rural","DE",26,21.0069999694824,22.4306831359863,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1178,51.8975982666016,14.0570640563965,4600.09948691048,3206.37343344047,52,"DEBB066","background","rural","DE",26,20.0690002441406,18.1097316741943,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1196,49.4384651184082,12.5488700866699,4505.8574156099,2928.26837120312,755,"DEBY072","background","rural","DE",26,35.25,24.5561923980713,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1208,51.6624526977539,11.0433826446533,4393.19215986208,3172.9590986959,410,"DEST098","background","rural","DE",27,31.488000869751,23.0077133178711,"DE.DK","Dfc","Dfc","DfcET","Alpine","Alpine","2009-04-01 00:00:00 CEST"
1219,52.8007698059082,10.7567329406738,4372.03945924804,3299.36986683315,74,"DEUB005","background","rural","DE",15,15.4499998092651,15.8061637878418,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1232,48.8844871520996,9.57301616668701,4289.67511688856,2863.56127010713,500,"DEBW030","background","rural","DE",15,27,22.9589977264404,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1233,52.9570198059082,11.1670503616333,4399.43056314585,3317.1214503581,50,"DENI060","background","rural","DE",15,13.0679998397827,15.4089279174805,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1241,50.2663192749023,6.38062191009521,4063.04189129933,3023.4989017238,680,"DERP015","background","rural","DE",15,17.503999710083,15.7041435241699,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1242,54.9249687194824,8.30820846557617,4212.50352377242,3536.76142663733,12,"DEUB001","background","rural","DE",99,8.34000015258789,13.3557634353638,"DE.DK","ZZZ","Cfa","ZZZ","SE","SE","2009-04-01 00:00:00 CEST"
1243,50.7667503356934,7.97271680831909,4177.99323790337,3074.77548906054,480,"DERP016","background","rural","DE",15,17.0580005645752,17.7466907501221,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1245,49.4231376647949,7.29352188110352,4124.6560835151,2926.97343012103,455,"DERP013","background","rural","DE",15,21.0960006713867,18.702392578125,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1263,51.2917556762695,9.7745885848999,4305.27602428717,3131.22452805045,610,"DEHE024","background","rural","DE",26,19.8330001831055,21.6904735565186,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1273,52.5931701660156,11.1723499298096,4400.44412982487,3276.6433036168,95,"DEST089","background","rural","DE",26,17.6219997406006,16.4883613586426,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1280,54.4369850158691,12.7219381332397,4497.61822500433,3484.51184057739,1,"DEUB028","background","rural","DE",15,13.5100002288818,16.3497638702393,"DE.DK","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
1293,54.7463874816895,10.7363920211792,4368.43667942932,3515.85895201345,3,"DK0054A","background","rural","DK",99,12.2229995727539,18.2059173583984,"DE.DK","ZZZ","Cfa","ZZZ","SE","SE","2009-04-01 00:00:00 CEST"
1295,55.6944465637207,12.1186113357544,4454.283246759,3623.07540353929,10,"DK0041A","background","rural","DK",26,13.2589998245239,22.382116317749,"DE.DK","Dfb","Dfb","ZZZ","EE","EE","2009-04-01 00:00:00 CEST"
1309,42.7197227478027,-8.92166709899902,2784.87673521254,2374.04660288173,685,"ES0005R","background","rural","ES",15,6,20.8098926544189,"ES.PT","Cfb","Cfb","ZZZ","WE","WE","2009-04-01 00:00:00 CEST"
